StockCode,Description,TotalRevenue,TotalQuantity
85123A,WHITE HANGING HEART T-LIGHT HOLDER,148876.66,55861
22423,REGENCY CAKESTAND 3 TIER,136866.3,11891
84879,ASSORTED COLOUR BIRD ORNAMENT,69854.96,44120
85099B,JUMBO BAG RED RETROSPOT,51608.4,29498
POST,POSTAGE,45520.86,2075
84347,ROTATING SILVER ANGELS T-LIGHT HLDR,39902.1,12228
22086,PAPER CHAIN KIT 50'S CHRISTMAS,36866.45,13837
47566,PARTY BUNTING,34998.7,8308
85099F,JUMBO BAG STRAWBERRY,33893.7,19258
21621,VINTAGE UNION JACK BUNTING,33546.96,3966
15056N,EDWARDIAN PARASOL NATURAL,33541.65,7103
15056BL,EDWARDIAN PARASOL BLACK,31038.7,6626
22189,CREAM HEART CARD HOLDER,29774.59,9883
85099C,JUMBO  BAG BAROQUE BLACK WHITE,29433.3,16622
21232,STRAWBERRY CERAMIC TRINKET BOX,29117.88,24833
21623,VINTAGE UNION JACK MEMOBOARD,28297.09,3851
21137,BLACK RECORD COVER FRAME,28117.77,8215
21754,HOME BUILDING BLOCK WORD,28093.75,4795
20914,SET/5 RED SPOTTY LID GLASS BOWLS,27072.5,9968
20725,LUNCH BAG RED SPOTTY,26547.95,16979
21733,RED HANGING HEART T-LIGHT HOLDER,26451.61,9523
21931,JUMBO STORAGE BAG SUKI,26356.55,14667
79321,CHILLI LIGHTS,26292.53,6021
82484,WOOD BLACK BOARD ANT WHITE FINISH,25881.03,4947
22411,JUMBO SHOPPER VINTAGE RED PAISLEY,25441.35,14085
21929,JUMBO BAG PINK VINTAGE PAISLEY,25357,14492
21843,RED RETROSPOT CAKE STAND,24460.39,2443
22386,JUMBO BAG PINK WITH WHITE SPOTS,24433.05,13757
85099B,JUMBO BAG RED WHITE SPOTTY,24334.5,13884
21928,JUMBO BAG SCANDINAVIAN PAISLEY,24225.25,13887
48138,DOOR MAT UNION FLAG,24139.23,3721
22111,SCOTTIE DOG HOT WATER BOTTLE,23871.5,5140
22112,CHOCOLATE HOT WATER BOTTLE,23793,5138
37503,TEA TIME CAKE STAND IN GIFT BOX,23323.1,2338
82494L,WOODEN FRAME ANTIQUE WHITE,22830.85,8267
22470,HEART OF WICKER LARGE,22797.53,7947
21731,RED TOADSTOOL LED NIGHT LIGHT,21892.2,14192
84029E,RED WOOLLY HOTTIE WHITE HEART.,21759.31,6573
21212,PACK OF 72 RETRO SPOT CAKE CASES,21543.06,44507
22910,PAPER CHAIN KIT VINTAGE CHRISTMAS,21313.65,7763
71477,COLOUR GLASS. STAR T-LIGHT HOLDER,21255,7488
21181,PLEASE ONE PERSON METAL SIGN,21050.08,10735
20727,LUNCH BAG  BLACK SKULL.,20984.9,13446
21755,LOVE BUILDING BLOCK WORD,20521.85,3501
22114,HOT WATER BOTTLE TEA AND SYMPATHY,20368.95,5451
22328,ROUND SNACK BOXES SET OF 4 FRUITS,20240.9,7502
22188,BLACK HEART CARD HOLDER,20101.84,7534
20679,EDWARDIAN PARASOL RED,20031.25,4495
82486,WOOD S/3 CABINET ANT WHITE FINISH,19885.7,2666
22090,PAPER BUNTING RETRO SPOTS,19661.95,7181
84078A,SET/4 WHITE RETRO STORAGE CUBES,19313.1,538
22197,SMALL POPCORN HOLDER,19287.93,25394
22383,LUNCH BAG SUKI  DESIGN,19198.75,12095
72741,GRAND CHOCOLATECANDLE,18670.85,13889
22326,ROUND SNACK BOXES SET OF4 WOODLAND,18657.9,6738
22083,PAPER CHAIN KIT RETRO SPOT,18616.4,6894
20728,LUNCH BAG CARS BLUE,18456.9,11830
84946,ANTIQUE SILVER TEA GLASS ETCHED,18421.54,15890
22139,RETRO SPOT TEA SET CERAMIC 11 PC,18191.17,3904
20726,LUNCH BAG WOODLAND,17432.95,11067
84991,60 TEATIME FAIRY CAKE CASES,17410.95,35630
21915,RED  HARMONICA IN BOX,17238.47,15305
82482,WOODEN PICTURE FRAME WHITE FINISH,17191.35,7416
22178,VICTORIAN GLASS HANGING T-LIGHT,17037.36,14858
47590B,PINK HAPPY BIRTHDAY BUNTING,16936.85,3373
48138,DOORMAT UNION FLAG,16874.85,2589
21622,VINTAGE UNION JACK CUSHION COVER,16809.47,3173
22457,NATURAL SLATE HEART CHALKBOARD,16786.2,5968
20713,JUMBO BAG OWLS,16728.15,9357
84836,ZINC METAL HEART DECORATION,16622.75,13891
22469,HEART OF WICKER SMALL,16574.16,10260
22379,RECYCLING BAG RETROSPOT,16428.35,8416
22138,BAKING SET 9 PIECE RETROSPOT,16395.76,3462
21175,GIN + TONIC DIET METAL SIGN,16374.15,8434
22622,BOX OF VINTAGE ALPHABET BLOCKS,16287.9,1776
21166,COOK WITH WINE METAL SIGN,16264.08,9152
48194,DOORMAT HEARTS,15740.54,2604
85152,HAND OVER THE CHOCOLATE   SIGN,15542.65,8213
22158,3 HEARTS HANGING DECORATION RUSTIC,15389.3,5470
21231,SWEETHEART CERAMIC TRINKET BOX,15075.29,12852
20685,DOOR MAT RED SPOT,15064.66,2422
21977,PACK OF 60 PINK PAISLEY CAKE CASES,15042,30888
84997D,PINK 3 PIECE MINI DOTS CUTLERY SET,15010.89,4183
71459,HANGING JAM JAR T-LIGHT HOLDER,14923.91,19105
85014B,RED/WHITE DOTS RUFFLED UMBRELLA,14726.75,3393
84997B,RED 3 PIECE MINI DOTS CUTLERY SET,14613.66,4052
22752,SET 7 BABUSHKA NESTING BOXES,14540.1,1824
85066,CREAM SWEETHEART MINI CHEST,14513.71,1225
22382,LUNCH BAG SPACEBOY DESIGN,14437.25,9029
84406B,CREAM CUPID HEARTS COAT HANGER,14337.92,4832
21843,RETRO SPOT CAKE STAND,14336.85,1363
22385,JUMBO BAG SPACEBOY DESIGN,14255.25,8001
82483,WOOD 2 DRAWER CABINET WHITE FINISH,13996.2,2576
20712,JUMBO BAG WOODLAND ANIMALS,13971.75,7731
20972,PINK CREAM FELT CRAFT TRINKET BOX,13936.89,11697
84755,COLOUR GLASS T-LIGHT HOLDER HANGING,13881.85,23375
22384,LUNCH BAG PINK RETROSPOT,13733,8628
37449,CERAMIC CAKE STAND + HANGING CAKES,13649.1,1543
84997C,BLUE 3 PIECE MINI DOTS CUTLERY SET,13549.83,3745
22294,HEART FILIGREE DOVE  SMALL,13501.78,11210
22734,SET OF 6 RIBBONS VINTAGE CHRISTMAS,13462.65,6015
22585,PACK OF 6 BIRDY GIFT TAGS,13318.52,11140
21217,RED SPOTTY ROUND CAKE TINS,13252.35,1393
84970S,HANGING HEART ZINC T-LIGHT HOLDER,13197.43,17197
47566B,TEA TIME PARTY BUNTING,13171.5,3144
22865,HAND WARMER OWL DESIGN,13090.8,6458
47590A,BLUE HAPPY BIRTHDAY BUNTING,13025.15,2643
22149,FELTCRAFT 6 FLOWER FRIENDS,13003.7,6442
22866,HAND WARMER SCOTTY DOG DESIGN,12952.2,6412
22867,HAND WARMER BIRD DESIGN,12928.8,6428
82600,NO SINGING METAL SIGN,12926.46,6771
20711,JUMBO BAG TOYS,12813.35,7255
22061,LARGE CAKE STAND  HANGING STRAWBERY,12749.52,1440
15036,ASSORTED COLOURS SILK FAN,12655.53,19029
35004C,SET OF 3 COLOURED  FLYING DUCKS,12603.65,2653
84029G,KNITTED UNION FLAG HOT WATER BOTTLE,12566.34,3558
48187,DOOR MAT NEW ENGLAND,12521.69,1953
21527,RED RETROSPOT TRADITIONAL TEAPOT,12362.04,1800
21930,JUMBO STORAGE BAG SKULLS,12336.85,6835
22077,6 RIBBONS RUSTIC CHARM,12320.25,7589
22629,SPACEBOY LUNCH BOX,12134.55,6725
85014A,BLACK/BLUE DOTS RUFFLED UMBRELLA,12095.15,2945
72760B,VINTAGE CREAM 3 BASKET CAKE STAND,11704.37,1267
21213,PACK OF 72 SKULL CAKE CASES,11635.27,24577
21481,FAWN BLUE HOT WATER BOTTLE,11613.35,4193
22556,PLASTERS IN TIN CIRCUS PARADE,11604,7312
15044A,PINK PAPER PARASOL,11568.1,4470
22507,MEMO BOARD RETROSPOT  DESIGN,11490.15,2633
21314,SMALL GLASS HEART TRINKET POT,11458.35,5841
20750,RED/WHITE DOT MINI CASES,11397.48,1588
22605,WOODEN CROQUET GARDEN SET,11386.78,1010
85042,ANTIQUE LILY FAIRY LIGHTS,11343.4,2512
22837,HOT WATER BOTTLE BABUSHKA,11316.9,2538
21523,DOORMAT FANCY FONT HOME SWEET HOME,11296.76,1842
84077,WORLD WAR 2 GLIDERS ASSTD DESIGNS,11218.82,54274
21164,HOME SWEET HOME METAL SIGN,11206.02,4182
22551,PLASTERS IN TIN SPACEBOY,11197.05,7029
22630,DOLLY GIRL LUNCH BOX,11191.5,6288
21908,CHOCOLATE THIS WAY METAL SIGN,11173.52,5929
21485,RED SPOT HEART HOT WATER BOTTLE,11152.9,2390
22297,HEART IVORY TRELLIS SMALL,11081.56,9044
79323W,WHITE CHERRY LIGHTS,11051.45,1873
22492,MINI PAINT SET VINTAGE,11026,17460
20971,PINK BLUE FELT CRAFT TRINKET BOX,11011.99,9384
22087,PAPER BUNTING WHITE LACE,10990,3944
84949,SILVER HANGING T-LIGHT HOLDER,10920.9,7038
21080,SET/20 RED SPOTTY PAPER NAPKINS,10903.74,14544
22456,NATURAL SLATE CHALKBOARD LARGE,10802.51,2563
22296,HEART IVORY TRELLIS LARGE,10630.2,6604
21791,VINTAGE HEADS AND TAILS CARD GAME,10561.87,8959
82583,HOT BATHS METAL SIGN,10487.45,5528
85150,LADIES & GENTLEMEN METAL SIGN,10468.5,4304
22505,MEMO BOARD COTTAGE DESIGN,10447.15,2271
21210,SET OF 72 RETRO SPOT PAPER  DOILIES,10413.05,7481
48185,DOOR MAT FAIRY CAKE,10349.2,1642
71053,WHITE METAL LANTERN,10236.66,2902
22444,GROW YOUR OWN PLANT IN A CAN,10224.06,8358
21258,VICTORIAN SEWING BOX LARGE,10136.85,871
21524,DOOR MAT SPOTTY HOME SWEET HOME,10129.18,1734
84992,72 SWEETHEART FAIRY CAKE CASES,10087.13,21191
22624,IVORY KITCHEN SCALES,10081.85,1224
35400,WOODEN BOX ADVENT CALENDAR,10021.1,1159
21790,VINTAGE SNAP CARDS,9920.95,12311
22113,GREY HEART HOT WATER BOTTLE,9823.92,2748
48111,DOOR MAT 3 SMILEY CATS,9803.67,1763
84970L,SINGLE HEART ZINC T-LIGHT HOLDER,9755.63,10933
